Student,Asn 1,Asn 2,Asn 3,Asn 4,Asn 5,Asn 6
Kate Mulgrew,92,98,91,96,97,99
Garrett Wang,86,0,89,78,0,99
Ethan Phillips,0,56,68,88,78,77
Jeri Ryan,100,98,100,100,100,100
Roxann Dawson,87,93,92,87,93,0
Robert Picardo,100,100,100,100,100,100
Robert Beltran,87,0,68,98,0,78
Robert McNeil,87,76,86,0,88,96
Tim Russ,97,96,98,99,100,98
Nana Visitor,98,76,85,88,78,96
Avery Brooks,98,96,94,99,82,96
Alex Siddig,78,86,95,87,76,88
Rene Auberjonois,89,88,98,94,89,96
Armin Shimerman,78,0,65,88,72,76
Terry Farrell,86,94,87,96,88,87
Jolene Blalock,98,99,97,96,99,100
Scott Bakula,97,98,100,96,100,100
Conner Trinneer,98,92,98,96,99,100
Dominic Keating,92,94,0,87,98,96
Linda Park,89,92,96,87,98,94
John Billings,0,98,0,0,99,0
Anthony Montgomery,78,86,74,65,63,75
